source,target,edge_type,confidence,fk_columns,ref_columns,note
sales_order_headers::740563,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740564,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740565,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740566,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740567,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740568,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740569,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740570,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740571,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740572,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740573,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740574,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740575,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740576,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740577,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740578,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740579,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740580,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740581,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740582,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740583,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740584,business_partners::320000108,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740585,business_partners::320000107,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740586,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740587,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740588,business_partners::320000108,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740589,business_partners::320000107,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740590,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740591,business_partners::320000108,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740592,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740593,business_partners::320000107,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740594,business_partners::320000108,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740595,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740596,business_partners::320000108,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740597,business_partners::320000107,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740598,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740599,business_partners::320000108,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740600,business_partners::320000107,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740601,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740602,business_partners::320000107,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740603,business_partners::320000108,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740604,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740605,business_partners::320000107,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_items::740506::10,sales_order_headers::740506,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740506::10,products::S8907367001003,sales_order_items->products,high,['material'],['product'],
sales_order_items::740506::20,sales_order_headers::740506,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740506::20,products::S8907367000327,sales_order_items->products,high,['material'],['product'],
sales_order_items::740506::30,sales_order_headers::740506,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740506::30,products::S8907367020073,sales_order_items->products,high,['material'],['product'],
sales_order_items::740506::40,sales_order_headers::740506,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740506::40,products::S8907367025344,sales_order_items->products,high,['material'],['product'],
sales_order_items::740506::50,sales_order_headers::740506,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740506::50,products::S8907367035664,sales_order_items->products,high,['material'],['product'],
sales_order_items::740507::10,sales_order_headers::740507,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740507::10,products::S8907367001003,sales_order_items->products,high,['material'],['product'],
sales_order_items::740507::20,sales_order_headers::740507,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740507::20,products::S8907367000327,sales_order_items->products,high,['material'],['product'],
sales_order_items::740507::30,sales_order_headers::740507,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740507::30,products::S8907367025344,sales_order_items->products,high,['material'],['product'],
sales_order_items::740507::40,sales_order_headers::740507,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740507::40,products::S8907367035664,sales_order_items->products,high,['material'],['product'],
sales_order_items::740508::10,sales_order_headers::740508,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740508::10,products::S8907367001003,sales_order_items->products,high,['material'],['product'],
sales_order_items::740508::20,sales_order_headers::740508,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740508::20,products::S8907367000327,sales_order_items->products,high,['material'],['product'],
sales_order_items::740508::30,sales_order_headers::740508,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740508::30,products::S8907367025344,sales_order_items->products,high,['material'],['product'],
sales_order_items::740508::40,sales_order_headers::740508,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740508::40,products::S8907367035664,sales_order_items->products,high,['material'],['product'],
sales_order_items::740509::10,sales_order_headers::740509,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740509::10,products::S8907367013532,sales_order_items->products,high,['material'],['product'],
sales_order_items::740510::10,sales_order_headers::740510,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740510::10,products::S8907367038122,sales_order_items->products,high,['material'],['product'],
sales_order_items::740511::10,sales_order_headers::740511,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740511::10,products::S8907367001003,sales_order_items->products,high,['material'],['product'],
sales_order_items::740512::10,sales_order_headers::740512,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740512::10,products::S8907367002512,sales_order_items->products,high,['material'],['product'],
sales_order_items::740513::10,sales_order_headers::740513,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740513::10,products::S8907367039280,sales_order_items->products,high,['material'],['product'],
sales_order_items::740514::10,sales_order_headers::740514,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740514::10,products::S8907367039280,sales_order_items->products,high,['material'],['product'],
sales_order_items::740515::10,sales_order_headers::740515,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740515::10,products::S8907367039280,sales_order_items->products,high,['material'],['product'],
sales_order_items::740516::10,sales_order_headers::740516,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740516::10,products::B8907367032571,sales_order_items->products,high,['material'],['product'],
sales_order_items::740516::20,sales_order_headers::740516,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740516::20,products::S8907367025412,sales_order_items->products,high,['material'],['product'],
sales_order_items::740517::10,sales_order_headers::740517,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740517::10,products::S8907367039280,sales_order_items->products,high,['material'],['product'],
sales_order_items::740518::10,sales_order_headers::740518,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740518::10,products::S8907367039280,sales_order_items->products,high,['material'],['product'],
sales_order_items::740519::10,sales_order_headers::740519,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740519::10,products::S8907367039280,sales_order_items->products,high,['material'],['product'],
sales_order_items::740520::10,sales_order_headers::740520,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740520::10,products::S8907367008620,sales_order_items->products,high,['material'],['product'],
sales_order_items::740521::10,sales_order_headers::740521,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740521::10,products::S8907367039280,sales_order_items->products,high,['material'],['product'],
sales_order_items::740522::10,sales_order_headers::740522,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740522::10,products::S8907367039280,sales_order_items->products,high,['material'],['product'],
sales_order_items::740523::10,sales_order_headers::740523,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740523::10,products::S8907367039280,sales_order_items->products,high,['material'],['product'],
sales_order_items::740524::10,sales_order_headers::740524,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740524::10,products::S8907367008620,sales_order_items->products,high,['material'],['product'],
sales_order_items::740525::10,sales_order_headers::740525,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740525::10,products::S8907367002512,sales_order_items->products,high,['material'],['product'],
sales_order_items::740526::10,sales_order_headers::740526,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740526::10,products::S8907367025344,sales_order_items->products,high,['material'],['product'],
sales_order_items::740527::10,sales_order_headers::740527,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740527::10,products::S8907367038108,sales_order_items->products,high,['material'],['product'],
sales_order_items::740527::20,sales_order_headers::740527,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740527::20,products::S8907367008620,sales_order_items->products,high,['material'],['product'],
sales_order_items::740528::10,sales_order_headers::740528,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740528::10,products::S8907367008620,sales_order_items->products,high,['material'],['product'],
sales_order_items::740529::10,sales_order_headers::740529,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740529::10,products::S8907367001003,sales_order_items->products,high,['material'],['product'],
sales_order_items::740530::10,sales_order_headers::740530,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740530::10,products::S8907367013532,sales_order_items->products,high,['material'],['product'],
sales_order_items::740531::10,sales_order_headers::740531,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740531::10,products::S8907367004448,sales_order_items->products,high,['material'],['product'],
sales_order_items::740532::10,sales_order_headers::740532,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740532::10,products::S8907367013587,sales_order_items->products,high,['material'],['product'],
sales_order_items::740533::10,sales_order_headers::740533,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740533::10,products::B8907367022152,sales_order_items->products,high,['material'],['product'],
sales_order_items::740533::20,sales_order_headers::740533,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740533::20,products::S8907367011866,sales_order_items->products,high,['material'],['product'],
sales_order_items::740534::10,sales_order_headers::740534,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740534::10,products::S8907367026433,sales_order_items->products,high,['material'],['product'],
sales_order_items::740535::10,sales_order_headers::740535,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740535::10,products::S8907367025344,sales_order_items->products,high,['material'],['product'],
sales_order_items::740536::10,sales_order_headers::740536,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740536::10,products::S8907367028192,sales_order_items->products,high,['material'],['product'],
sales_order_items::740537::10,sales_order_headers::740537,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740537::10,products::S8907367013532,sales_order_items->products,high,['material'],['product'],
sales_order_items::740538::10,sales_order_headers::740538,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740538::10,products::S8907367008620,sales_order_items->products,high,['material'],['product'],
sales_order_items::740539::10,sales_order_headers::740539,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740539::10,products::S8907367004448,sales_order_items->products,high,['material'],['product'],
sales_order_items::740540::10,sales_order_headers::740540,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740540::10,products::S8907367008620,sales_order_items->products,high,['material'],['product'],
sales_order_items::740541::10,sales_order_headers::740541,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740541::10,products::S8907367008620,sales_order_items->products,high,['material'],['product'],
sales_order_items::740542::10,sales_order_headers::740542,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740542::10,products::B8907367032571,sales_order_items->products,high,['material'],['product'],
sales_order_items::740542::20,sales_order_headers::740542,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740542::20,products::S8907367025412,sales_order_items->products,high,['material'],['product'],
sales_order_items::740542::30,sales_order_headers::740542,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740542::30,products::S8907367008620,sales_order_items->products,high,['material'],['product'],
sales_order_items::740543::10,sales_order_headers::740543,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740543::10,products::S8907367013532,sales_order_items->products,high,['material'],['product'],
sales_order_items::740544::10,sales_order_headers::740544,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740544::10,products::S8907367002512,sales_order_items->products,high,['material'],['product'],
sales_order_items::740545::10,sales_order_headers::740545,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740545::10,products::S8907367013532,sales_order_items->products,high,['material'],['product'],
sales_order_items::740546::10,sales_order_headers::740546,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740546::10,products::S8907367038122,sales_order_items->products,high,['material'],['product'],
sales_order_items::740547::10,sales_order_headers::740547,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740547::10,products::S8907367013532,sales_order_items->products,high,['material'],['product'],
sales_order_items::740548::10,sales_order_headers::740548,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740548::10,products::S8907367025344,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::10,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::10,products::B8907367002246,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::20,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::20,products::S8907367001836,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::30,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::30,products::S8907367001874,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::40,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::40,products::3001468,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::50,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::50,products::S8907367001850,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::60,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::60,products::S8907367001843,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::70,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::70,products::3001456,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::80,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::80,products::S8907367001867,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::90,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::90,products::S8907367002550,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::100,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::100,products::S8907367038108,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::110,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::110,products::S8907367038122,sales_order_items->products,high,['material'],['product'],
sales_order_items::740549::120,sales_order_headers::740549,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740549::120,products::S8907367039280,sales_order_items->products,high,['material'],['product'],
sales_order_items::740550::10,sales_order_headers::740550,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740550::10,products::S8907367039280,sales_order_items->products,high,['material'],['product'],
sales_order_items::740551::10,sales_order_headers::740551,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740551::10,products::S8907367038122,sales_order_items->products,high,['material'],['product'],
sales_order_items::740552::10,sales_order_headers::740552,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740552::10,products::S8907367001003,sales_order_items->products,high,['material'],['product'],
sales_order_items::740553::10,sales_order_headers::740553,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740553::10,products::S8907367010814,sales_order_items->products,high,['material'],['product'],
sales_order_items::740553::20,sales_order_headers::740553,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740553::20,products::S8907367008620,sales_order_items->products,high,['material'],['product'],
sales_order_items::740554::10,sales_order_headers::740554,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740554::10,products::S8907367041993,sales_order_items->products,high,['material'],['product'],
sales_order_items::740555::10,sales_order_headers::740555,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740555::10,products::B8907367015697,sales_order_items->products,high,['material'],['product'],
sales_order_items::740555::20,sales_order_headers::740555,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740555::20,products::S8907367013532,sales_order_items->products,high,['material'],['product'],
sales_order_items::740555::30,sales_order_headers::740555,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740555::30,products::S8907367014447,sales_order_items->products,high,['material'],['product'],
sales_order_items::740556::10,sales_order_headers::740556,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740556::10,products::B8907367037859,sales_order_items->products,high,['material'],['product'],
sales_order_items::740556::20,sales_order_headers::740556,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740556::20,products::S8907367035978,sales_order_items->products,high,['material'],['product'],
sales_order_items::740556::30,sales_order_headers::740556,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740556::30,products::S8907367035992,sales_order_items->products,high,['material'],['product'],
sales_order_items::740556::40,sales_order_headers::740556,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740556::40,products::S8907367035985,sales_order_items->products,high,['material'],['product'],
sales_order_items::740556::50,sales_order_headers::740556,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740556::50,products::S8907367035961,sales_order_items->products,high,['material'],['product'],
sales_order_items::740557::10,sales_order_headers::740557,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740557::10,products::B8907367037859,sales_order_items->products,high,['material'],['product'],
sales_order_items::740557::20,sales_order_headers::740557,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740557::20,products::S8907367035961,sales_order_items->products,high,['material'],['product'],
sales_order_items::740557::30,sales_order_headers::740557,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740557::30,products::S8907367035978,sales_order_items->products,high,['material'],['product'],
sales_order_items::740557::40,sales_order_headers::740557,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740557::40,products::S8907367035985,sales_order_items->products,high,['material'],['product'],
sales_order_items::740557::50,sales_order_headers::740557,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740557::50,products::S8907367035992,sales_order_items->products,high,['material'],['product'],
sales_order_items::740558::10,sales_order_headers::740558,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740558::10,products::S8907367013532,sales_order_items->products,high,['material'],['product'],
sales_order_items::740559::10,sales_order_headers::740559,sales_order_items->sales_order_headers,high,['sales_order'],['sales_order'],
sales_order_items::740559::10,products::S8907367016144,sales_order_items->products,high,['material'],['product'],
