product,plant,availability_check_type,profit_center,mrp_type,_source_file,_source_row
S8907367011866,PB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,46
S8907367011866,PB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,47
S8907367011866,RJ07,NC,ABC001,ND,part-20251119-133439-232.jsonl,48
S8907367011866,TL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,49
S8907367011866,TL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,50
S8907367011866,TM05,NC,ABC001,ND,part-20251119-133439-232.jsonl,51
S8907367011866,TM07,NC,ABC001,ND,part-20251119-133439-232.jsonl,52
S8907367011866,UP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,53
S8907367011866,UP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,54
S8907367011866,WB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,55
S8907367011866,WB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,56
S8907367013082,1001,NC,ABC001,ND,part-20251119-133439-232.jsonl,57
S8907367013082,1002,NC,ABC001,ND,part-20251119-133439-232.jsonl,58
S8907367013082,1003,NC,ABC001,ND,part-20251119-133439-232.jsonl,59
S8907367013082,1005,NC,ABC001,ND,part-20251119-133439-232.jsonl,60
S8907367013082,1006,NC,ABC001,ND,part-20251119-133439-232.jsonl,61
S8907367013082,1007,NC,ABC001,ND,part-20251119-133439-232.jsonl,62
S8907367013082,1010,NC,ABC001,ND,part-20251119-133439-232.jsonl,63
S8907367013082,1011,NC,ABC001,ND,part-20251119-133439-232.jsonl,64
S8907367013082,1012,NC,ABC001,ND,part-20251119-133439-232.jsonl,65
S8907367013082,1301,NC,ABC001,ND,part-20251119-133439-232.jsonl,66
S8907367013082,1302,NC,ABC001,ND,part-20251119-133439-232.jsonl,67
S8907367013082,1303,NC,ABC001,ND,part-20251119-133439-232.jsonl,68
S8907367013082,1920,NC,ABC001,ND,part-20251119-133439-232.jsonl,69
S8907367013082,1921,NC,ABC001,ND,part-20251119-133439-232.jsonl,70
S8907367013082,1922,NC,ABC001,ND,part-20251119-133439-232.jsonl,71
S8907367013082,AP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,72
S8907367013082,AS05,NC,ABC001,ND,part-20251119-133439-232.jsonl,73
S8907367013082,BH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,74
S8907367013082,CH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,75
S8907367013082,DL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,76
S8907367013082,DL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,77
S8907367013082,GJ05,NC,ABC001,ND,part-20251119-133439-232.jsonl,78
S8907367013082,HR00,NC,ABC001,ND,part-20251119-133439-232.jsonl,79
S8907367013082,HR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,80
S8907367013082,HR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,81
S8907367013082,JH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,82
S8907367013082,KA05,NC,ABC001,ND,part-20251119-133439-232.jsonl,83
S8907367013082,KA07,NC,ABC001,ND,part-20251119-133439-232.jsonl,84
S8907367013082,KR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,85
S8907367013082,KR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,86
S8907367013082,MH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,87
S8907367013082,MH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,88
S8907367013082,MP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,89
S8907367013082,PB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,90
S8907367013082,PB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,91
S8907367013082,RJ07,NC,ABC001,ND,part-20251119-133439-232.jsonl,92
S8907367013082,TL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,93
S8907367013082,TL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,94
S8907367013082,TM05,NC,ABC001,ND,part-20251119-133439-232.jsonl,95
S8907367013082,TM07,NC,ABC001,ND,part-20251119-133439-232.jsonl,96
S8907367013082,UP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,97
S8907367013082,UP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,98
S8907367013082,WB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,99
S8907367013082,WB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,100
S8907367013532,1001,NC,ABC001,ND,part-20251119-133439-232.jsonl,101
S8907367013532,1002,NC,ABC001,ND,part-20251119-133439-232.jsonl,102
S8907367013532,1003,NC,ABC001,ND,part-20251119-133439-232.jsonl,103
S8907367013532,1005,NC,ABC001,ND,part-20251119-133439-232.jsonl,104
S8907367013532,1006,NC,ABC001,ND,part-20251119-133439-232.jsonl,105
S8907367013532,1007,NC,ABC001,ND,part-20251119-133439-232.jsonl,106
S8907367013532,1010,NC,ABC001,ND,part-20251119-133439-232.jsonl,107
S8907367013532,1011,NC,ABC001,ND,part-20251119-133439-232.jsonl,108
S8907367013532,1012,NC,ABC001,ND,part-20251119-133439-232.jsonl,109
S8907367013532,1301,NC,ABC001,ND,part-20251119-133439-232.jsonl,110
S8907367013532,1302,NC,ABC001,ND,part-20251119-133439-232.jsonl,111
S8907367013532,1303,NC,ABC001,ND,part-20251119-133439-232.jsonl,112
S8907367013532,1920,NC,ABC001,ND,part-20251119-133439-232.jsonl,113
S8907367013532,1921,NC,ABC001,ND,part-20251119-133439-232.jsonl,114
S8907367013532,1922,NC,ABC001,ND,part-20251119-133439-232.jsonl,115
S8907367013532,AP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,116
S8907367013532,AS05,NC,ABC001,ND,part-20251119-133439-232.jsonl,117
S8907367013532,BH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,118
S8907367013532,CH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,119
S8907367013532,DL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,120
S8907367013532,DL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,121
S8907367013532,GJ05,NC,ABC001,ND,part-20251119-133439-232.jsonl,122
S8907367013532,HR00,NC,ABC001,ND,part-20251119-133439-232.jsonl,123
S8907367013532,HR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,124
S8907367013532,HR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,125
S8907367013532,JH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,126
S8907367013532,KA05,NC,ABC001,ND,part-20251119-133439-232.jsonl,127
S8907367013532,KA07,NC,ABC001,ND,part-20251119-133439-232.jsonl,128
S8907367013532,KR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,129
S8907367013532,KR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,130
S8907367013532,MH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,131
S8907367013532,MH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,132
S8907367013532,MP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,133
S8907367013532,PB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,134
S8907367013532,PB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,135
S8907367013532,RJ07,NC,ABC001,ND,part-20251119-133439-232.jsonl,136
S8907367013532,TL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,137
S8907367013532,TL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,138
S8907367013532,TM05,NC,ABC001,ND,part-20251119-133439-232.jsonl,139
S8907367013532,TM07,NC,ABC001,ND,part-20251119-133439-232.jsonl,140
S8907367013532,UP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,141
S8907367013532,UP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,142
S8907367013532,WB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,143
S8907367013532,WB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,144
S8907367013587,1001,NC,ABC001,ND,part-20251119-133439-232.jsonl,145
S8907367013587,1002,NC,ABC001,ND,part-20251119-133439-232.jsonl,146
S8907367013587,1003,NC,ABC001,ND,part-20251119-133439-232.jsonl,147
S8907367013587,1005,NC,ABC001,ND,part-20251119-133439-232.jsonl,148
S8907367013587,1006,NC,ABC001,ND,part-20251119-133439-232.jsonl,149
S8907367013587,1007,NC,ABC001,ND,part-20251119-133439-232.jsonl,150
S8907367013587,1010,NC,ABC001,ND,part-20251119-133439-232.jsonl,151
S8907367013587,1011,NC,ABC001,ND,part-20251119-133439-232.jsonl,152
S8907367013587,1012,NC,ABC001,ND,part-20251119-133439-232.jsonl,153
S8907367013587,1301,NC,ABC001,ND,part-20251119-133439-232.jsonl,154
S8907367013587,1302,NC,ABC001,ND,part-20251119-133439-232.jsonl,155
S8907367013587,1303,NC,ABC001,ND,part-20251119-133439-232.jsonl,156
S8907367013587,1920,NC,ABC001,ND,part-20251119-133439-232.jsonl,157
S8907367013587,1921,NC,ABC001,ND,part-20251119-133439-232.jsonl,158
S8907367013587,1922,NC,ABC001,ND,part-20251119-133439-232.jsonl,159
S8907367013587,AP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,160
S8907367013587,AS05,NC,ABC001,ND,part-20251119-133439-232.jsonl,161
S8907367013587,BH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,162
S8907367013587,CH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,163
S8907367013587,DL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,164
S8907367013587,DL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,165
S8907367013587,GJ05,NC,ABC001,ND,part-20251119-133439-232.jsonl,166
S8907367013587,HR00,NC,ABC001,ND,part-20251119-133439-232.jsonl,167
S8907367013587,HR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,168
S8907367013587,HR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,169
S8907367013587,JH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,170
S8907367013587,KA05,NC,ABC001,ND,part-20251119-133439-232.jsonl,171
S8907367013587,KA07,NC,ABC001,ND,part-20251119-133439-232.jsonl,172
S8907367013587,KR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,173
S8907367013587,KR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,174
S8907367013587,MH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,175
S8907367013587,MH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,176
S8907367013587,MP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,177
S8907367013587,PB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,178
S8907367013587,PB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,179
S8907367013587,RJ07,NC,ABC001,ND,part-20251119-133439-232.jsonl,180
S8907367013587,TL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,181
S8907367013587,TL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,182
S8907367013587,TM05,NC,ABC001,ND,part-20251119-133439-232.jsonl,183
S8907367013587,TM07,NC,ABC001,ND,part-20251119-133439-232.jsonl,184
S8907367013587,UP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,185
S8907367013587,UP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,186
S8907367013587,WB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,187
S8907367013587,WB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,188
S8907367014447,1001,NC,ABC001,ND,part-20251119-133439-232.jsonl,189
S8907367014447,1002,NC,ABC001,ND,part-20251119-133439-232.jsonl,190
S8907367014447,1003,NC,ABC001,ND,part-20251119-133439-232.jsonl,191
S8907367014447,1005,NC,ABC001,ND,part-20251119-133439-232.jsonl,192
S8907367014447,1006,NC,ABC001,ND,part-20251119-133439-232.jsonl,193
S8907367014447,1007,NC,ABC001,ND,part-20251119-133439-232.jsonl,194
S8907367014447,1010,NC,ABC001,ND,part-20251119-133439-232.jsonl,195
S8907367014447,1011,NC,ABC001,ND,part-20251119-133439-232.jsonl,196
S8907367014447,1012,NC,ABC001,ND,part-20251119-133439-232.jsonl,197
S8907367014447,1301,NC,ABC001,ND,part-20251119-133439-232.jsonl,198
S8907367014447,1302,NC,ABC001,ND,part-20251119-133439-232.jsonl,199
S8907367014447,1303,NC,ABC001,ND,part-20251119-133439-232.jsonl,200
S8907367014447,1920,NC,ABC001,ND,part-20251119-133439-232.jsonl,201
S8907367014447,1921,NC,ABC001,ND,part-20251119-133439-232.jsonl,202
S8907367014447,1922,NC,ABC001,ND,part-20251119-133439-232.jsonl,203
S8907367014447,AP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,204
S8907367014447,AS05,NC,ABC001,ND,part-20251119-133439-232.jsonl,205
S8907367014447,BH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,206
S8907367014447,CH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,207
S8907367014447,DL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,208
S8907367014447,DL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,209
S8907367014447,GJ05,NC,ABC001,ND,part-20251119-133439-232.jsonl,210
S8907367014447,HR00,NC,ABC001,ND,part-20251119-133439-232.jsonl,211
S8907367014447,HR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,212
S8907367014447,HR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,213
S8907367014447,JH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,214
S8907367014447,KA05,NC,ABC001,ND,part-20251119-133439-232.jsonl,215
S8907367014447,KA07,NC,ABC001,ND,part-20251119-133439-232.jsonl,216
S8907367014447,KR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,217
S8907367014447,KR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,218
S8907367014447,MH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,219
S8907367014447,MH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,220
S8907367014447,MP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,221
S8907367014447,PB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,222
S8907367014447,PB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,223
S8907367014447,RJ07,NC,ABC001,ND,part-20251119-133439-232.jsonl,224
S8907367014447,TL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,225
S8907367014447,TL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,226
S8907367014447,TM05,NC,ABC001,ND,part-20251119-133439-232.jsonl,227
S8907367014447,TM07,NC,ABC001,ND,part-20251119-133439-232.jsonl,228
S8907367014447,UP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,229
S8907367014447,UP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,230
S8907367014447,WB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,231
S8907367014447,WB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,232
S8907367014867,1001,NC,ABC001,ND,part-20251119-133439-232.jsonl,233
S8907367014867,1002,NC,ABC001,ND,part-20251119-133439-232.jsonl,234
S8907367014867,1003,NC,ABC001,ND,part-20251119-133439-232.jsonl,235
S8907367014867,1005,NC,ABC001,ND,part-20251119-133439-232.jsonl,236
S8907367014867,1006,NC,ABC001,ND,part-20251119-133439-232.jsonl,237
S8907367014867,1007,NC,ABC001,ND,part-20251119-133439-232.jsonl,238
S8907367014867,1010,NC,ABC001,ND,part-20251119-133439-232.jsonl,239
S8907367014867,1011,NC,ABC001,ND,part-20251119-133439-232.jsonl,240
S8907367014867,1012,NC,ABC001,ND,part-20251119-133439-232.jsonl,241
S8907367014867,1301,NC,ABC001,ND,part-20251119-133439-232.jsonl,242
S8907367014867,1302,NC,ABC001,ND,part-20251119-133439-232.jsonl,243
S8907367014867,1303,NC,ABC001,ND,part-20251119-133439-232.jsonl,244
S8907367014867,1920,NC,ABC001,ND,part-20251119-133439-232.jsonl,245
S8907367014867,1921,NC,ABC001,ND,part-20251119-133439-232.jsonl,246
S8907367014867,1922,NC,ABC001,ND,part-20251119-133439-232.jsonl,247
S8907367014867,AP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,248
S8907367014867,AS05,NC,ABC001,ND,part-20251119-133439-232.jsonl,249
S8907367014867,BH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,250
S8907367014867,CH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,251
S8907367014867,DL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,252
S8907367014867,DL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,253
S8907367014867,GJ05,NC,ABC001,ND,part-20251119-133439-232.jsonl,254
S8907367014867,HR00,NC,ABC001,ND,part-20251119-133439-232.jsonl,255
S8907367014867,HR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,256
S8907367014867,HR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,257
S8907367014867,JH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,258
S8907367014867,KA05,NC,ABC001,ND,part-20251119-133439-232.jsonl,259
S8907367014867,KA07,NC,ABC001,ND,part-20251119-133439-232.jsonl,260
S8907367014867,KR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,261
S8907367014867,KR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,262
S8907367014867,MH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,263
S8907367014867,MH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,264
S8907367014867,MP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,265
S8907367014867,PB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,266
S8907367014867,PB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,267
S8907367014867,RJ07,NC,ABC001,ND,part-20251119-133439-232.jsonl,268
S8907367014867,TL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,269
S8907367014867,TL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,270
S8907367014867,TM05,NC,ABC001,ND,part-20251119-133439-232.jsonl,271
S8907367014867,TM07,NC,ABC001,ND,part-20251119-133439-232.jsonl,272
S8907367014867,UP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,273
S8907367014867,UP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,274
S8907367014867,WB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,275
S8907367014867,WB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,276
S8907367016144,1001,NC,ABC001,ND,part-20251119-133439-232.jsonl,277
S8907367016144,1002,NC,ABC001,ND,part-20251119-133439-232.jsonl,278
S8907367016144,1003,NC,ABC001,ND,part-20251119-133439-232.jsonl,279
S8907367016144,1005,NC,ABC001,ND,part-20251119-133439-232.jsonl,280
S8907367016144,1006,NC,ABC001,ND,part-20251119-133439-232.jsonl,281
S8907367016144,1007,NC,ABC001,ND,part-20251119-133439-232.jsonl,282
S8907367016144,1010,NC,ABC001,ND,part-20251119-133439-232.jsonl,283
S8907367016144,1011,NC,ABC001,ND,part-20251119-133439-232.jsonl,284
S8907367016144,1012,NC,ABC001,ND,part-20251119-133439-232.jsonl,285
S8907367016144,1301,NC,ABC001,ND,part-20251119-133439-232.jsonl,286
S8907367016144,1302,NC,ABC001,ND,part-20251119-133439-232.jsonl,287
S8907367016144,1303,NC,ABC001,ND,part-20251119-133439-232.jsonl,288
S8907367016144,1920,NC,ABC001,ND,part-20251119-133439-232.jsonl,289
S8907367016144,1921,NC,ABC001,ND,part-20251119-133439-232.jsonl,290
S8907367016144,1922,NC,ABC001,ND,part-20251119-133439-232.jsonl,291
S8907367016144,AP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,292
S8907367016144,AS05,NC,ABC001,ND,part-20251119-133439-232.jsonl,293
S8907367016144,BH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,294
S8907367016144,CH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,295
S8907367016144,DL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,296
S8907367016144,DL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,297
S8907367016144,GJ05,NC,ABC001,ND,part-20251119-133439-232.jsonl,298
S8907367016144,HR00,NC,ABC001,ND,part-20251119-133439-232.jsonl,299
S8907367016144,HR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,300
S8907367016144,HR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,301
S8907367016144,JH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,302
S8907367016144,KA05,NC,ABC001,ND,part-20251119-133439-232.jsonl,303
S8907367016144,KA07,NC,ABC001,ND,part-20251119-133439-232.jsonl,304
S8907367016144,KR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,305
S8907367016144,KR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,306
S8907367016144,MH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,307
S8907367016144,MH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,308
S8907367016144,MP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,309
S8907367016144,PB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,310
S8907367016144,PB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,311
S8907367016144,RJ07,NC,ABC001,ND,part-20251119-133439-232.jsonl,312
S8907367016144,TL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,313
S8907367016144,TL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,314
S8907367016144,TM05,NC,ABC001,ND,part-20251119-133439-232.jsonl,315
S8907367016144,TM07,NC,ABC001,ND,part-20251119-133439-232.jsonl,316
S8907367016144,UP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,317
S8907367016144,UP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,318
S8907367016144,WB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,319
S8907367016144,WB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,320
S8907367020035,1001,NC,ABC001,ND,part-20251119-133439-232.jsonl,321
S8907367020035,1002,NC,ABC001,ND,part-20251119-133439-232.jsonl,322
S8907367020035,1003,NC,ABC001,ND,part-20251119-133439-232.jsonl,323
S8907367020035,1005,NC,ABC001,ND,part-20251119-133439-232.jsonl,324
S8907367020035,1006,NC,ABC001,ND,part-20251119-133439-232.jsonl,325
S8907367020035,1007,NC,ABC001,ND,part-20251119-133439-232.jsonl,326
S8907367020035,1010,NC,ABC001,ND,part-20251119-133439-232.jsonl,327
S8907367020035,1011,NC,ABC001,ND,part-20251119-133439-232.jsonl,328
S8907367020035,1012,NC,ABC001,ND,part-20251119-133439-232.jsonl,329
S8907367020035,1301,NC,ABC001,ND,part-20251119-133439-232.jsonl,330
S8907367020035,1302,NC,ABC001,ND,part-20251119-133439-232.jsonl,331
S8907367020035,1303,NC,ABC001,ND,part-20251119-133439-232.jsonl,332
S8907367020035,1920,NC,ABC001,ND,part-20251119-133439-232.jsonl,333
S8907367020035,1921,NC,ABC001,ND,part-20251119-133439-232.jsonl,334
S8907367020035,1922,NC,ABC001,ND,part-20251119-133439-232.jsonl,335
S8907367020035,AP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,336
S8907367020035,AS05,NC,ABC001,ND,part-20251119-133439-232.jsonl,337
S8907367020035,BH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,338
S8907367020035,CH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,339
S8907367020035,DL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,340
S8907367020035,DL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,341
S8907367020035,GJ05,NC,ABC001,ND,part-20251119-133439-232.jsonl,342
S8907367020035,HR00,NC,ABC001,ND,part-20251119-133439-232.jsonl,343
S8907367020035,HR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,344
S8907367020035,HR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,345
S8907367020035,JH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,346
S8907367020035,KA05,NC,ABC001,ND,part-20251119-133439-232.jsonl,347
S8907367020035,KA07,NC,ABC001,ND,part-20251119-133439-232.jsonl,348
S8907367020035,KR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,349
S8907367020035,KR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,350
